date,open,high,low,close,volume,adjclose,dividends,splits
2020-01-02,6695.0,6780.0,6680.0,6690.0,49445000,5820.927734375,0.0,0.0
2020-01-03,6750.0,6800.0,6725.0,6800.0,47755500,5916.6376953125,0.0,0.0
2020-01-06,6720.0,6750.0,6690.0,6735.0,27300000,5860.08154296875,0.0,0.0
2020-01-07,6735.0,6770.0,6730.0,6740.0,45022500,5864.43212890625,0.0,0.0
2020-01-08,6670.0,6745.0,6670.0,6680.0,53692500,5812.2265625,0.0,0.0
2020-01-09,6740.0,6755.0,6730.0,6740.0,40363500,5864.43212890625,0.0,0.0
2020-01-10,6765.0,6825.0,6710.0,6725.0,73362000,5851.380859375,0.0,0.0
2020-01-13,6740.0,6760.0,6735.0,6745.0,67855000,5868.78271484375,0.0,0.0
2020-01-14,6745.0,6885.0,6740.0,6870.0,93582000,5977.54443359375,0.0,0.0
2020-01-15,6870.0,7060.0,6800.0,6835.0,75623500,5947.0908203125,0.0,0.0
2020-01-16,6805.0,6890.0,6795.0,6850.0,88931500,5960.14208984375,0.0,0.0
2020-01-17,6840.0,6890.0,6800.0,6875.0,38249500,5981.89453125,0.0,0.0
2020-01-20,6950.0,6975.0,6830.0,6835.0,93554500,5947.0908203125,0.0,0.0
2020-01-21,6885.0,6895.0,6825.0,6830.0,103984500,5942.7412109375,0.0,0.0
2020-01-22,6855.0,6895.0,6835.0,6840.0,94311500,5951.44091796875,0.0,0.0
2020-01-23,6885.0,6895.0,6830.0,6840.0,87728000,5951.44091796875,0.0,0.0
2020-01-24,6820.0,6880.0,6810.0,6810.0,69653500,5925.33837890625,0.0,0.0
2020-01-27,6865.0,6940.0,6815.0,6840.0,39679000,5951.44091796875,0.0,0.0
2020-01-28,6835.0,6845.0,6755.0,6790.0,82615000,5907.93603515625,0.0,0.0
2020-01-29,6800.0,6845.0,6770.0,6785.0,43821000,5903.5869140625,0.0,0.0
2020-01-30,6845.0,6845.0,6730.0,6740.0,71990000,5864.43212890625,0.0,0.0
2020-01-31,6800.0,6805.0,6480.0,6480.0,163136500,5638.20703125,0.0,0.0
2020-02-03,6480.0,6585.0,6370.0,6440.0,149797000,5603.40380859375,0.0,0.0
2020-02-04,6570.0,6620.0,6520.0,6600.0,113316500,5742.619140625,0.0,0.0
2020-02-05,6780.0,6780.0,6650.0,6730.0,123002500,5855.73046875,0.0,0.0
2020-02-06,6740.0,6780.0,6680.0,6740.0,154693500,5864.43212890625,0.0,0.0
2020-02-07,6710.0,6780.0,6705.0,6760.0,82609000,5881.83349609375,0.0,0.0
2020-02-10,6760.0,6785.0,6630.0,6785.0,66578500,5903.5869140625,0.0,0.0
2020-02-11,6785.0,6785.0,6745.0,6780.0,77526500,5899.23583984375,0.0,0.0
2020-02-12,6800.0,6800.0,6760.0,6800.0,69971500,5916.6376953125,0.0,0.0
2020-02-13,6820.0,6820.0,6740.0,6790.0,49737000,5907.93603515625,0.0,0.0
2020-02-14,6780.0,6795.0,6675.0,6680.0,147028500,5812.2265625,0.0,0.0
2020-02-17,6680.0,6750.0,6680.0,6720.0,115319000,5847.02978515625,0.0,0.0
2020-02-18,6685.0,6720.0,6670.0,6695.0,98436500,5825.27783203125,0.0,0.0
2020-02-19,6665.0,6760.0,6665.0,6695.0,74594000,5825.27783203125,0.0,0.0
2020-02-20,6690.0,6695.0,6565.0,6595.0,136724500,5738.267578125,0.0,0.0
2020-02-21,6600.0,6660.0,6595.0,6615.0,98261000,5755.67041015625,0.0,0.0
2020-02-24,6565.0,6600.0,6510.0,6525.0,84910000,5677.36181640625,0.0,0.0
2020-02-25,6550.0,6560.0,6510.0,6530.0,86446500,5681.71240234375,0.0,0.0
2020-02-26,6500.0,6535.0,6420.0,6420.0,92824500,5586.00244140625,0.0,0.0
2020-02-27,6470.0,6475.0,6200.0,6290.0,129254500,5472.888671875,0.0,0.0
2020-02-28,6200.0,6290.0,6035.0,6290.0,169946500,5472.888671875,0.0,0.0
2020-03-02,6290.0,6290.0,6035.0,6080.0,144871500,5290.169921875,0.0,0.0
2020-03-03,6200.0,6350.0,6200.0,6320.0,114663500,5498.9921875,0.0,0.0
2020-03-04,6315.0,6500.0,6260.0,6440.0,83025000,5603.40380859375,0.0,0.0
2020-03-05,6540.0,6540.0,6340.0,6435.0,77583000,5599.05322265625,0.0,0.0
2020-03-06,6350.0,6350.0,6200.0,6200.0,77835500,5394.58056640625,0.0,0.0
2020-03-09,6000.0,6040.0,5785.0,5785.0,140889500,5033.4921875,0.0,0.0
2020-03-10,5840.0,6010.0,5840.0,5925.0,133667000,5155.3056640625,0.0,0.0
2020-03-11,5950.0,5980.0,5790.0,5850.0,93204500,5090.048828125,0.0,0.0
2020-03-12,5600.0,5640.0,5460.0,5560.0,129845500,4837.720703125,0.0,0.0
2020-03-13,5560.0,5560.0,5560.0,5560.0,0,4837.720703125,0.0,0.0
2020-03-16,5560.0,5560.0,5560.0,5560.0,0,4837.720703125,0.0,0.0
2020-03-17,5495.0,5505.0,5120.0,5120.0,212200000,4454.880859375,0.0,0.0
2020-03-18,5120.0,5380.0,4765.0,5000.0,180053500,4350.46875,0.0,0.0
2020-03-19,4995.0,4995.0,4650.0,4650.0,264419000,4045.935791015625,0.0,0.0
2020-03-20,4600.0,5385.0,4325.0,4735.0,335132000,4119.89404296875,0.0,0.0
2020-03-23,4760.0,5000.0,4405.0,4430.0,217843500,3854.51513671875,0.0,0.0
2020-03-24,4450.0,4995.0,4450.0,4500.0,253971000,3915.421630859375,0.0,0.0
2020-03-26,4650.0,5395.0,4650.0,5280.0,331633000,4594.095703125,0.0,0.0
2020-03-27,5360.0,5895.0,5355.0,5510.0,269683000,4794.21728515625,0.0,0.0
2020-03-30,5480.0,5555.0,5155.0,5495.0,159964500,4781.16552734375,0.0,0.0
2020-03-31,5660.0,5710.0,5485.0,5525.0,182638500,4807.267578125,0.0,0.0
2020-04-01,5560.0,5750.0,5425.0,5480.0,152831500,4768.11376953125,0.0,0.0
2020-04-02,5470.0,5470.0,5360.0,5410.0,136623500,4707.20654296875,0.0,0.0
2020-04-03,5460.0,5530.0,5365.0,5495.0,110506000,4781.16552734375,0.0,0.0
2020-04-06,5520.0,5740.0,5495.0,5735.0,78184000,4989.9873046875,0.0,0.0
2020-04-07,5735.0,6100.0,5580.0,5655.0,149153500,4920.380859375,0.0,0.0
2020-04-08,5655.0,5660.0,5480.0,5635.0,106111500,4902.978515625,0.0,0.0
2020-04-09,5600.0,5695.0,5500.0,5595.0,89997000,4868.173828125,0.0,0.0
2020-04-13,5540.0,5615.0,5480.0,5500.0,58043000,4785.51513671875,0.0,0.0
2020-04-14,5505.0,5590.0,5445.0,5515.0,95796000,4798.5673828125,0.0,0.0
2020-04-15,5515.0,5630.0,5445.0,5485.0,95342000,4772.46435546875,0.0,0.0
2020-04-16,5485.0,5520.0,5185.0,5240.0,176990500,4559.291015625,0.0,0.0
2020-04-17,5300.0,5445.0,5280.0,5425.0,160935500,4720.25927734375,0.0,0.0
2020-04-20,5430.0,5500.0,5330.0,5355.0,90744000,4659.35205078125,0.0,0.0
2020-04-21,5355.0,5355.0,5160.0,5160.0,73431000,4567.2978515625,91.0,0.0
2020-04-22,5160.0,5235.0,5045.0,5145.0,107263500,4554.0205078125,0.0,0.0
2020-04-23,5180.0,5245.0,5120.0,5120.0,105419500,4531.892578125,0.0,0.0
2020-04-24,5120.0,5140.0,4920.0,4920.0,131149500,4354.86474609375,0.0,0.0
2020-04-27,4940.0,5020.0,4855.0,4960.0,151103500,4390.271484375,0.0,0.0
2020-04-28,4960.0,4975.0,4805.0,4830.0,180488000,4275.20361328125,0.0,0.0
2020-04-29,4825.0,4850.0,4800.0,4850.0,121161000,4292.90625,0.0,0.0
2020-04-30,4880.0,5250.0,4880.0,5170.0,174081000,4576.1494140625,0.0,0.0
2020-05-04,5150.0,5300.0,5000.0,5220.0,114497500,4620.40625,0.0,0.0
2020-05-05,5220.0,5340.0,5200.0,5285.0,118643500,4677.9404296875,0.0,0.0
2020-05-06,5315.0,5370.0,5300.0,5355.0,86395500,4739.8994140625,0.0,0.0
2020-05-08,5345.0,5400.0,5150.0,5245.0,123028000,4642.53369140625,0.0,0.0
2020-05-11,5245.0,5325.0,5245.0,5295.0,40615500,4686.791015625,0.0,0.0
2020-05-12,5340.0,5340.0,5030.0,5220.0,118660000,4620.40625,0.0,0.0
2020-05-13,5160.0,5170.0,5085.0,5110.0,94973000,4523.04150390625,0.0,0.0
2020-05-14,5070.0,5110.0,4905.0,4920.0,131268000,4354.86474609375,0.0,0.0
2020-05-15,4920.0,4995.0,4680.0,4785.0,205790000,4235.373046875,0.0,0.0
2020-05-18,4800.0,4845.0,4750.0,4765.0,139997500,4217.66943359375,0.0,0.0
2020-05-19,4840.0,4960.0,4680.0,4680.0,128504500,4142.43310546875,0.0,0.0
2020-05-20,4720.0,4800.0,4690.0,4765.0,119158000,4217.66943359375,0.0,0.0
2020-05-26,4775.0,5000.0,4775.0,4970.0,176076500,4399.12255859375,0.0,0.0
2020-05-27,4970.0,5000.0,4855.0,4965.0,151753500,4394.6962890625,0.0,0.0
2020-05-28,5000.0,5320.0,5000.0,5295.0,229233000,4686.791015625,0.0,0.0
2020-05-29,5295.0,5295.0,5190.0,5190.0,399414000,4593.8515625,0.0,0.0
2020-06-02,5260.0,5500.0,5240.0,5360.0,181369500,4744.3251953125,0.0,0.0
2020-06-03,5410.0,5780.0,5400.0,5780.0,279673500,5116.08203125,0.0,0.0
2020-06-04,5780.0,5990.0,5600.0,5790.0,236158500,5124.93359375,0.0,0.0
2020-06-05,5790.0,5855.0,5585.0,5725.0,88157500,5067.3984375,0.0,0.0
2020-06-08,5755.0,5925.0,5755.0,5900.0,173557500,5222.2978515625,0.0,0.0
2020-06-09,5940.0,5995.0,5795.0,5805.0,100110000,5138.21044921875,0.0,0.0
2020-06-10,5800.0,5865.0,5595.0,5800.0,115382500,5133.7841796875,0.0,0.0
2020-06-11,5750.0,5810.0,5605.0,5680.0,85187500,5027.568359375,0.0,0.0
2020-06-12,5680.0,5680.0,5480.0,5670.0,96044000,5018.716796875,0.0,0.0
2020-06-15,5680.0,5710.0,5500.0,5500.0,100844500,4868.24365234375,0.0,0.0
2020-06-16,5580.0,5795.0,5580.0,5760.0,91518500,5098.37890625,0.0,0.0
2020-06-17,5800.0,5800.0,5680.0,5720.0,79800000,5062.97314453125,0.0,0.0
2020-06-18,5720.0,5740.0,5585.0,5585.0,68032000,4943.48095703125,0.0,0.0
2020-06-19,5600.0,5650.0,5545.0,5575.0,110071000,4934.62890625,0.0,0.0
2020-06-22,5595.0,5660.0,5530.0,5540.0,51590500,4903.64990234375,0.0,0.0
2020-06-23,5570.0,5660.0,5520.0,5620.0,69954000,4974.4599609375,0.0,0.0
2020-06-24,5650.0,5760.0,5640.0,5705.0,57333000,5049.697265625,0.0,0.0
2020-06-25,5700.0,5745.0,5640.0,5725.0,51415000,5067.3984375,0.0,0.0
2020-06-26,5720.0,5760.0,5640.0,5645.0,57467500,4996.58837890625,0.0,0.0
2020-06-29,5640.0,5695.0,5585.0,5675.0,48796500,5023.142578125,0.0,0.0
2020-06-30,5700.0,5740.0,5660.0,5695.0,74474000,5040.8447265625,0.0,0.0
2020-07-01,5700.0,5800.0,5675.0,5800.0,63959000,5133.7841796875,0.0,0.0
2020-07-02,5775.0,5870.0,5760.0,5870.0,75585500,5195.74462890625,0.0,0.0
2020-07-03,5870.0,5905.0,5840.0,5870.0,52219000,5195.74462890625,0.0,0.0
2020-07-06,5860.0,5935.0,5850.0,5935.0,67800000,5253.2783203125,0.0,0.0
2020-07-07,5940.0,5995.0,5900.0,5990.0,74168000,5301.96044921875,0.0,0.0
2020-07-08,5990.0,6265.0,5980.0,6200.0,106444500,5487.837890625,0.0,0.0
2020-07-09,6210.0,6240.0,6030.0,6100.0,93543500,5399.32568359375,0.0,0.0
2020-07-10,6100.0,6240.0,6080.0,6200.0,67224000,5487.837890625,0.0,0.0
2020-07-13,6230.0,6240.0,6140.0,6175.0,86006000,5465.70947265625,0.0,0.0
2020-07-14,6175.0,6200.0,6110.0,6200.0,45616500,5487.837890625,0.0,0.0
2020-07-15,6200.0,6240.0,6150.0,6150.0,61468000,5443.5810546875,0.0,0.0
2020-07-16,6150.0,6200.0,6140.0,6180.0,66520500,5470.1357421875,0.0,0.0
2020-07-17,6135.0,6180.0,6040.0,6120.0,73348000,5417.02880859375,0.0,0.0
2020-07-20,6120.0,6160.0,6060.0,6140.0,59794500,5434.73095703125,0.0,0.0
2020-07-21,6100.0,6235.0,6100.0,6200.0,84159500,5487.837890625,0.0,0.0
2020-07-22,6210.0,6250.0,6130.0,6180.0,44725500,5470.1357421875,0.0,0.0
2020-07-23,6180.0,6215.0,6140.0,6200.0,84026500,5487.837890625,0.0,0.0
2020-07-24,6200.0,6200.0,6100.0,6100.0,58366500,5399.32568359375,0.0,0.0
2020-07-27,6100.0,6140.0,6000.0,6100.0,41972500,5399.32568359375,0.0,0.0
2020-07-28,6120.0,6200.0,6060.0,6185.0,65279000,5474.56201171875,0.0,0.0
2020-07-29,6185.0,6185.0,6100.0,6135.0,50262500,5430.30517578125,0.0,0.0
2020-07-30,6135.0,6240.0,6055.0,6240.0,80533500,5523.244140625,0.0,0.0
2020-08-03,6220.0,6235.0,5825.0,6130.0,137079000,5425.87939453125,0.0,0.0
2020-08-04,6155.0,6220.0,6130.0,6210.0,79357000,5496.68994140625,0.0,0.0
2020-08-05,6200.0,6220.0,6100.0,6205.0,49393000,5492.2646484375,0.0,0.0
2020-08-06,6215.0,6295.0,6185.0,6260.0,55258500,5540.947265625,0.0,0.0
2020-08-07,6265.0,6285.0,6160.0,6180.0,43621000,5470.1357421875,0.0,0.0
2020-08-10,6180.0,6200.0,6105.0,6120.0,37774500,5417.02880859375,0.0,0.0
2020-08-11,6140.0,6200.0,6130.0,6175.0,38795500,5465.70947265625,0.0,0.0
2020-08-12,6175.0,6260.0,6160.0,6260.0,35612000,5540.947265625,0.0,0.0
2020-08-13,6260.0,6300.0,6180.0,6300.0,48581000,5576.3515625,0.0,0.0
2020-08-14,6300.0,6405.0,6240.0,6405.0,57316000,5669.29150390625,0.0,0.0
2020-08-18,6405.0,6425.0,6300.0,6360.0,81563500,5629.46044921875,0.0,0.0
2020-08-19,6360.0,6410.0,6310.0,6330.0,58793500,5602.90625,0.0,0.0
2020-08-24,6340.0,6380.0,6280.0,6315.0,66882500,5589.62890625,0.0,0.0
2020-08-25,6320.0,6380.0,6305.0,6365.0,49211000,5633.88720703125,0.0,0.0
2020-08-26,6385.0,6390.0,6305.0,6340.0,42983000,5611.7578125,0.0,0.0
2020-08-27,6365.0,6600.0,6340.0,6600.0,68326000,5841.89208984375,0.0,0.0
2020-08-28,6560.0,6600.0,6425.0,6495.0,52292500,5748.95361328125,0.0,0.0
2020-08-31,6500.0,6540.0,6275.0,6275.0,97032000,5554.22314453125,0.0,0.0
2020-09-01,6280.0,6520.0,6240.0,6520.0,67446000,5771.08251953125,0.0,0.0
2020-09-02,6520.0,6560.0,6365.0,6435.0,66065000,5695.8447265625,0.0,0.0
2020-09-03,6465.0,6500.0,6300.0,6500.0,68208500,5753.37890625,0.0,0.0
2020-09-04,6450.0,6450.0,6265.0,6380.0,80613500,5647.16357421875,0.0,0.0
2020-09-07,6335.0,6360.0,6200.0,6285.0,64249500,5563.0751953125,0.0,0.0
2020-09-08,6285.0,6360.0,6285.0,6335.0,39649000,5607.33154296875,0.0,0.0
2020-09-09,6300.0,6320.0,6210.0,6245.0,49285000,5527.67041015625,0.0,0.0
2020-09-10,6220.0,6220.0,5810.0,5810.0,175735000,5142.6357421875,0.0,0.0
2020-09-11,5800.0,5975.0,5620.0,5905.0,403032500,5226.7236328125,0.0,0.0
2020-09-14,6000.0,6115.0,5985.0,6050.0,138115000,5355.06787109375,0.0,0.0
2020-09-15,6040.0,6100.0,5860.0,5860.0,170087000,5186.892578125,0.0,0.0
2020-09-16,5860.0,5870.0,5745.0,5750.0,158565500,5089.52734375,0.0,0.0
2020-09-17,5750.0,5855.0,5665.0,5755.0,138796000,5093.95361328125,0.0,0.0
2020-09-18,5700.0,5735.0,5570.0,5630.0,316912000,4983.31201171875,0.0,0.0
2020-09-21,5640.0,5735.0,5595.0,5605.0,112443000,4961.1826171875,0.0,0.0
2020-09-22,5520.0,5565.0,5430.0,5450.0,163442500,4823.986328125,0.0,0.0
2020-09-23,5450.0,5585.0,5425.0,5505.0,100517000,4872.669921875,0.0,0.0
2020-09-24,5430.0,5535.0,5390.0,5445.0,88618500,4819.56201171875,0.0,0.0
2020-09-25,5480.0,5625.0,5460.0,5610.0,100705000,4965.6083984375,0.0,0.0
2020-09-28,5650.0,5695.0,5500.0,5515.0,93522000,4881.521484375,0.0,0.0
2020-09-29,5575.0,5635.0,5460.0,5505.0,117778500,4872.669921875,0.0,0.0
2020-09-30,5565.0,5565.0,5420.0,5420.0,107377000,4797.43359375,0.0,0.0
2020-10-01,5485.0,5570.0,5480.0,5570.0,56893000,4930.20263671875,0.0,0.0
2020-10-02,5560.0,5565.0,5440.0,5505.0,66848000,4872.669921875,0.0,0.0
2020-10-05,5515.0,5560.0,5460.0,5520.0,58291000,4885.9462890625,0.0,0.0
2020-10-06,5630.0,5715.0,5600.0,5700.0,141955500,5045.2705078125,0.0,0.0
2020-10-07,5600.0,5755.0,5580.0,5755.0,89937500,5093.95361328125,0.0,0.0
2020-10-08,5790.0,5800.0,5710.0,5780.0,77384500,5116.08203125,0.0,0.0
2020-10-09,5750.0,5775.0,5720.0,5775.0,54250500,5111.65576171875,0.0,0.0
2020-10-12,5840.0,5875.0,5830.0,5855.0,82918500,5182.466796875,0.0,0.0
2020-10-13,5840.0,5860.0,5770.0,5855.0,48250500,5182.466796875,0.0,0.0
2020-10-14,5840.0,5900.0,5810.0,5900.0,83117500,5222.2978515625,0.0,0.0
2020-10-15,5875.0,5880.0,5760.0,5785.0,82067000,5120.50732421875,0.0,0.0
2020-10-16,5785.0,5790.0,5730.0,5760.0,89051500,5098.37890625,0.0,0.0
2020-10-19,5750.0,5900.0,5710.0,5900.0,56871500,5222.2978515625,0.0,0.0
2020-10-20,5880.0,5880.0,5785.0,5805.0,74995500,5138.21044921875,0.0,0.0
2020-10-21,5860.0,5865.0,5730.0,5780.0,77944000,5116.08203125,0.0,0.0
2020-10-22,5740.0,5800.0,5705.0,5800.0,96872500,5133.7841796875,0.0,0.0
2020-10-23,5840.0,5840.0,5750.0,5770.0,66328000,5107.23046875,0.0,0.0
2020-10-26,5725.0,5835.0,5725.0,5815.0,70452500,5147.06201171875,0.0,0.0
2020-10-27,5815.0,5830.0,5755.0,5790.0,89482000,5124.93359375,0.0,0.0
2020-11-02,5760.0,5825.0,5720.0,5820.0,151006500,5151.48681640625,0.0,0.0
2020-11-03,5840.0,5895.0,5835.0,5890.0,78152000,5213.44677734375,0.0,0.0
2020-11-04,5900.0,5940.0,5785.0,5820.0,78626000,5151.48681640625,0.0,0.0
2020-11-05,5900.0,6180.0,5900.0,6150.0,161090000,5443.5810546875,0.0,0.0
2020-11-06,6160.0,6300.0,6060.0,6300.0,137303500,5576.3515625,0.0,0.0
2020-11-09,6300.0,6400.0,6215.0,6285.0,82739500,5563.0751953125,0.0,0.0
2020-11-10,6395.0,6600.0,6380.0,6480.0,191073500,5735.67626953125,0.0,0.0
2020-11-11,6540.0,6565.0,6480.0,6540.0,131383500,5788.78369140625,0.0,0.0
2020-11-12,6410.0,6495.0,6405.0,6420.0,83082500,5682.568359375,0.0,0.0
2020-11-13,6420.0,6450.0,6320.0,6390.0,82374500,5656.0146484375,0.0,0.0
2020-11-16,6485.0,6485.0,6385.0,6480.0,54905000,5735.67626953125,0.0,0.0
2020-11-17,6500.0,6565.0,6490.0,6550.0,119784000,5797.63623046875,0.0,0.0
2020-11-18,6550.0,6575.0,6540.0,6570.0,99789000,5815.33935546875,0.0,0.0
2020-11-19,6520.0,6640.0,6515.0,6615.0,147346500,5855.16943359375,0.0,0.0
2020-11-20,6640.0,6650.0,6550.0,6600.0,68468500,5841.89208984375,0.0,0.0
2020-11-23,6600.0,6610.0,6550.0,6600.0,75265500,5841.89208984375,0.0,0.0
2020-11-24,6600.0,6600.0,6545.0,6565.0,72349500,5810.91259765625,0.0,0.0
2020-11-25,6580.0,6585.0,6380.0,6410.0,170140500,5673.71728515625,0.0,0.0
2020-11-26,6350.0,6490.0,6300.0,6480.0,64339000,5735.67626953125,0.0,0.0
2020-11-27,6480.0,6490.0,6380.0,6385.0,87361500,5651.5888671875,0.0,0.0
2020-11-30,6385.0,6400.0,6135.0,6205.0,393091500,5492.2646484375,0.0,0.0
2020-12-01,6220.0,6435.0,6220.0,6395.0,114563500,5660.43994140625,0.0,0.0
2020-12-02,6460.0,6485.0,6340.0,6450.0,93897500,5709.1220703125,0.0,0.0
2020-12-03,6500.0,6525.0,6425.0,6460.0,98210000,5717.97314453125,0.0,0.0
2020-12-04,6460.0,6465.0,6360.0,6390.0,64995500,5656.0146484375,0.0,0.0
2020-12-07,6500.0,6580.0,6480.0,6520.0,96636000,5771.08251953125,0.0,0.0
2020-12-08,6520.0,6520.0,6425.0,6490.0,70561500,5744.52734375,19.6,0.0
2020-12-10,6590.0,6600.0,6540.0,6575.0,151420500,5837.39306640625,0.0,0.0
2020-12-11,6600.0,6780.0,6595.0,6735.0,214160000,5979.443359375,0.0,0.0
2020-12-14,6800.0,6830.0,6795.0,6820.0,179785500,6054.908203125,0.0,0.0
2020-12-15,6830.0,6900.0,6605.0,6790.0,164024500,6028.27392578125,0.0,0.0
2020-12-16,6860.0,6950.0,6840.0,6950.0,138674000,6170.3251953125,0.0,0.0
2020-12-17,6965.0,7000.0,6820.0,6935.0,91920000,6157.0078125,0.0,0.0
2020-12-18,6935.0,6935.0,6755.0,6800.0,147238500,6037.15234375,0.0,0.0
2020-12-21,6890.0,6890.0,6800.0,6830.0,93692500,6063.78662109375,0.0,0.0
2020-12-22,6740.0,6820.0,6710.0,6715.0,61790500,5961.68798828125,0.0,0.0
2020-12-23,6905.0,6905.0,6620.0,6725.0,76948000,5970.56591796875,0.0,0.0
2020-12-28,6790.0,6820.0,6660.0,6780.0,60234000,6019.39599609375,0.0,0.0
2020-12-29,6775.0,6810.0,6740.0,6765.0,34212500,6006.07861328125,0.0,0.0
2020-12-30,6800.0,6800.0,6700.0,6770.0,52675500,6010.51708984375,0.0,0.0
2021-01-04,6800.0,6855.0,6720.0,6835.0,47937000,6068.22607421875,0.0,0.0
2021-01-05,6860.0,7090.0,6850.0,7090.0,104831000,6294.619140625,0.0,0.0
2021-01-06,7050.0,7075.0,6880.0,6945.0,89753500,6165.88623046875,0.0,0.0
2021-01-07,7000.0,7050.0,6910.0,6965.0,71360000,6183.6416015625,0.0,0.0
2021-01-08,7035.0,7080.0,6975.0,7050.0,75033500,6259.10595703125,0.0,0.0
2021-01-11,7150.0,7360.0,7145.0,7345.0,169034500,6521.01171875,0.0,0.0
2021-01-12,7345.0,7380.0,7160.0,7160.0,95235000,6356.76611328125,0.0,0.0
2021-01-13,7245.0,7275.0,7070.0,7120.0,76581500,6321.25341796875,0.0,0.0
2021-01-14,7050.0,7090.0,6995.0,7020.0,89319500,6232.4716796875,0.0,0.0
2021-01-15,7095.0,7100.0,6840.0,6955.0,89853500,6174.763671875,0.0,0.0
2021-01-18,6955.0,7125.0,6845.0,7120.0,86343000,6321.25341796875,0.0,0.0
2021-01-19,7120.0,7120.0,7005.0,7095.0,73777000,6299.05859375,0.0,0.0
2021-01-20,7165.0,7295.0,7070.0,7095.0,107216000,6299.05859375,0.0,0.0
2021-01-21,7280.0,7300.0,7060.0,7075.0,66428000,6281.302734375,0.0,0.0
2021-01-22,7075.0,7160.0,7075.0,7080.0,80829000,6285.740234375,0.0,0.0
2021-01-25,7200.0,7200.0,7000.0,7035.0,76836500,6245.78857421875,0.0,0.0
