date,open,high,low,close,volume,adjclose,dividends
2020-01-02,3970.0,4000.0,3900.0,3910.0,52094000,3090.177978515625,0.0
2020-01-03,3960.0,3980.0,3930.0,3980.0,70032900,3145.500732421875,0.0
2020-01-06,3930.0,3970.0,3930.0,3960.0,42908900,3129.6943359375,0.0
2020-01-07,3930.0,3970.0,3920.0,3940.0,51837600,3113.8876953125,0.0
2020-01-08,3920.0,3950.0,3900.0,3900.0,52402600,3082.27490234375,0.0
2020-01-09,3920.0,3970.0,3920.0,3960.0,37580300,3129.6943359375,0.0
2020-01-10,3980.0,3990.0,3950.0,3980.0,48099000,3145.500732421875,0.0
2020-01-13,4000.0,4030.0,3990.0,4030.0,61913800,3185.016845703125,0.0
2020-01-14,3980.0,4000.0,3940.0,3950.0,95058600,3121.791015625,0.0
2020-01-15,3960.0,3960.0,3870.0,3880.0,147583300,3066.46826171875,0.0
2020-01-16,3890.0,3890.0,3830.0,3850.0,118903100,3042.758544921875,0.0
2020-01-17,3860.0,3870.0,3800.0,3810.0,119904100,3011.145263671875,0.0
2020-01-20,3820.0,3840.0,3800.0,3810.0,73599200,3011.145263671875,0.0
2020-01-21,3810.0,3900.0,3810.0,3890.0,78014400,3074.371337890625,0.0
2020-01-22,3890.0,3890.0,3850.0,3860.0,45839800,3050.66162109375,0.0
2020-01-23,3860.0,3880.0,3830.0,3880.0,41077400,3066.46826171875,0.0
2020-01-24,3880.0,3930.0,3860.0,3920.0,58524000,3098.081298828125,0.0
2020-01-27,3920.0,3920.0,3830.0,3840.0,33081800,3034.85498046875,0.0
2020-01-28,3810.0,3840.0,3800.0,3830.0,56210000,3026.95166015625,0.0
2020-01-29,3840.0,3900.0,3840.0,3900.0,51929800,3082.27490234375,0.0
2020-01-30,3910.0,3910.0,3850.0,3860.0,60391600,3050.66162109375,0.0
2020-01-31,3890.0,3890.0,3780.0,3800.0,120447900,3003.241943359375,0.0
2020-02-03,3800.0,3820.0,3730.0,3740.0,68360600,2955.822509765625,0.0
2020-02-04,3810.0,3810.0,3730.0,3760.0,77259600,2971.62890625,0.0
2020-02-05,3760.0,3780.0,3720.0,3770.0,68150800,2979.532470703125,0.0
2020-02-06,3800.0,3800.0,3750.0,3760.0,56261500,2971.62890625,0.0
2020-02-07,3780.0,3820.0,3760.0,3790.0,53578900,2995.3388671875,0.0
2020-02-10,3800.0,3850.0,3780.0,3810.0,86588500,3011.145263671875,0.0
2020-02-11,3810.0,3830.0,3780.0,3790.0,50248200,2995.3388671875,0.0
2020-02-12,3800.0,3850.0,3780.0,3820.0,73840300,3019.048583984375,0.0
2020-02-13,3820.0,3830.0,3710.0,3730.0,66699800,2947.9189453125,0.0
2020-02-14,3680.0,3730.0,3640.0,3640.0,108793300,2876.789794921875,0.0
2020-02-17,3630.0,3660.0,3590.0,3610.0,94887800,2853.07958984375,0.0
2020-02-18,3590.0,3660.0,3590.0,3620.0,94382900,2860.983154296875,0.0
2020-02-19,3620.0,3640.0,3590.0,3620.0,63717800,2860.983154296875,0.0
2020-02-20,3620.0,3650.0,3600.0,3630.0,53035400,2868.886474609375,0.0
2020-02-21,3650.0,3710.0,3640.0,3690.0,86862600,2916.30615234375,0.0
2020-02-24,3670.0,3720.0,3630.0,3640.0,72610600,2876.789794921875,0.0
2020-02-25,3600.0,3670.0,3590.0,3590.0,73990700,2837.2734375,0.0
2020-02-26,3530.0,3550.0,3450.0,3510.0,133449900,2774.047119140625,0.0
2020-02-27,3510.0,3550.0,3420.0,3470.0,88389400,2742.43408203125,0.0
2020-02-28,3390.0,3490.0,3340.0,3490.0,151751800,2758.240966796875,0.0
2020-03-02,3470.0,3550.0,3440.0,3440.0,96802900,2718.724365234375,0.0
2020-03-03,3510.0,3660.0,3470.0,3620.0,114698200,2860.983154296875,0.0
2020-03-04,3640.0,3840.0,3630.0,3830.0,136081000,3026.95166015625,0.0
2020-03-05,3820.0,3880.0,3760.0,3830.0,101235000,3026.95166015625,0.0
2020-03-06,3730.0,3790.0,3710.0,3750.0,86476000,2963.7255859375,0.0
2020-03-09,3560.0,3620.0,3500.0,3500.0,109347300,2766.143798828125,0.0
2020-03-10,3480.0,3620.0,3480.0,3490.0,119718000,2758.240966796875,0.0
2020-03-11,3470.0,3480.0,3370.0,3400.0,115486900,2687.111328125,0.0
2020-03-12,3300.0,3440.0,3270.0,3310.0,84363800,2615.98193359375,0.0
2020-03-13,3310.0,3310.0,3310.0,3310.0,0,2615.98193359375,0.0
2020-03-16,3300.0,3300.0,3160.0,3160.0,115972300,2497.432861328125,0.0
2020-03-17,3160.0,3160.0,2940.0,2940.0,150122700,2323.560791015625,0.0
2020-03-18,3010.0,3080.0,2740.0,2810.0,150147300,2220.818359375,0.0
2020-03-19,2810.0,2810.0,2620.0,2620.0,138987300,2070.656005859375,0.0
2020-03-20,2660.0,2990.0,2450.0,2880.0,267694700,2276.1416015625,0.0
2020-03-23,2880.0,2880.0,2680.0,2680.0,86157200,2118.076171875,0.0
2020-03-24,2700.0,2880.0,2570.0,2620.0,243778900,2070.656005859375,0.0
2020-03-26,2550.0,3080.0,2550.0,2980.0,267369500,2355.174072265625,0.0
2020-03-27,3050.0,3270.0,3050.0,3090.0,200952500,2442.10986328125,0.0
2020-03-30,3060.0,3180.0,2880.0,3140.0,134474300,2481.626220703125,0.0
2020-03-31,3180.0,3300.0,3120.0,3160.0,151302900,2497.432861328125,0.0
2020-04-01,3180.0,3200.0,3040.0,3100.0,104550600,2450.013427734375,0.0
2020-04-02,3100.0,3130.0,3020.0,3130.0,92893600,2473.72314453125,0.0
2020-04-03,3150.0,3220.0,3120.0,3200.0,83469200,2529.0458984375,0.0
2020-04-06,3280.0,3330.0,3180.0,3330.0,115495000,2631.788330078125,0.0
2020-04-07,3390.0,3500.0,3200.0,3220.0,166425600,2544.8525390625,0.0
2020-04-08,3220.0,3220.0,3050.0,3110.0,124553900,2457.91650390625,0.0
2020-04-09,3110.0,3180.0,3030.0,3120.0,122622400,2465.81982421875,0.0
2020-04-13,3140.0,3230.0,3130.0,3180.0,45469500,2513.2392578125,0.0
2020-04-14,3200.0,3250.0,3160.0,3240.0,79114600,2560.6591796875,0.0
2020-04-15,3250.0,3300.0,3090.0,3110.0,69832000,2457.91650390625,0.0
2020-04-16,3110.0,3110.0,3000.0,3000.0,109582500,2370.98046875,0.0
2020-04-17,3050.0,3250.0,3050.0,3230.0,127860400,2552.755615234375,0.0
2020-04-20,3270.0,3270.0,3120.0,3120.0,77306900,2465.81982421875,0.0
2020-04-21,3120.0,3130.0,3050.0,3070.0,43239400,2426.303466796875,0.0
2020-04-22,3050.0,3270.0,3030.0,3160.0,126278300,2497.432861328125,0.0
2020-04-23,3200.0,3240.0,3070.0,3070.0,117391500,2426.303466796875,0.0
2020-04-24,3100.0,3160.0,3080.0,3090.0,84061400,2442.10986328125,0.0
2020-04-27,3120.0,3200.0,3100.0,3150.0,85475400,2489.529541015625,0.0
2020-04-28,3170.0,3200.0,3140.0,3160.0,80212700,2497.432861328125,0.0
2020-04-29,3200.0,3390.0,3100.0,3350.0,154902100,2647.59521484375,0.0
2020-04-30,3400.0,3540.0,3350.0,3500.0,163170100,2766.143798828125,0.0
2020-05-04,3400.0,3400.0,3260.0,3320.0,108988600,2623.88525390625,0.0
2020-05-05,3320.0,3390.0,3320.0,3320.0,74036700,2623.88525390625,0.0
2020-05-06,3300.0,3340.0,3220.0,3240.0,86395000,2560.6591796875,0.0
2020-05-08,3270.0,3290.0,3150.0,3190.0,143584400,2521.142578125,0.0
2020-05-11,3220.0,3250.0,3210.0,3220.0,58473100,2544.8525390625,0.0
2020-05-12,3270.0,3270.0,3100.0,3150.0,138978700,2489.529541015625,0.0
2020-05-13,3150.0,3170.0,3080.0,3160.0,73238700,2497.432861328125,0.0
2020-05-14,3110.0,3140.0,3060.0,3070.0,101581300,2426.303466796875,0.0
2020-05-15,3100.0,3130.0,3020.0,3100.0,114753900,2450.013427734375,0.0
2020-05-18,3100.0,3220.0,3100.0,3220.0,108828800,2544.8525390625,0.0
2020-05-19,3250.0,3330.0,3250.0,3270.0,97387100,2584.368896484375,0.0
2020-05-20,3200.0,3260.0,3180.0,3180.0,76086600,2513.2392578125,0.0
2020-05-26,3150.0,3280.0,3130.0,3250.0,105792900,2568.56201171875,0.0
2020-05-27,3250.0,3270.0,3150.0,3170.0,128693900,2505.336181640625,0.0
2020-05-28,3180.0,3210.0,3130.0,3130.0,177385100,2473.72314453125,0.0
2020-05-29,3100.0,3150.0,3080.0,3150.0,276092100,2489.529541015625,0.0
2020-06-02,3160.0,3270.0,3120.0,3250.0,174790600,2568.56201171875,0.0
2020-06-03,3280.0,3320.0,3230.0,3290.0,216200900,2600.17529296875,0.0
2020-06-04,3320.0,3390.0,3250.0,3300.0,167708600,2608.07861328125,0.0
2020-06-05,3360.0,3360.0,3200.0,3230.0,188420700,2552.755615234375,0.0
2020-06-08,3250.0,3290.0,3220.0,3230.0,221641600,2552.755615234375,0.0
2020-06-09,3250.0,3270.0,3140.0,3140.0,171214500,2481.626220703125,0.0
2020-06-10,3150.0,3190.0,3100.0,3110.0,263483700,2457.91650390625,0.0
2020-06-11,3120.0,3150.0,3060.0,3080.0,175767800,2434.206787109375,0.0
2020-06-12,3080.0,3080.0,2970.0,3030.0,260087300,2394.690185546875,0.0
2020-06-15,3060.0,3150.0,3030.0,3090.0,241625700,2442.10986328125,0.0
2020-06-16,3150.0,3220.0,3130.0,3200.0,194424800,2529.0458984375,0.0
2020-06-17,3210.0,3230.0,3140.0,3210.0,177784900,2536.94921875,0.0
2020-06-18,3210.0,3350.0,3180.0,3280.0,235586600,2592.271728515625,0.0
2020-06-19,3300.0,3340.0,3250.0,3280.0,227358800,2592.271728515625,0.0
2020-06-22,3290.0,3300.0,3180.0,3200.0,159776500,2529.0458984375,0.0
2020-06-23,3200.0,3200.0,3120.0,3130.0,167271000,2473.72314453125,0.0
2020-06-24,3150.0,3230.0,3140.0,3180.0,170895600,2513.2392578125,0.0
2020-06-25,3160.0,3220.0,3140.0,3160.0,100882600,2497.432861328125,0.0
2020-06-26,3190.0,3220.0,3180.0,3190.0,100784500,2521.142578125,0.0
2020-06-29,3200.0,3250.0,3160.0,3180.0,156613200,2513.2392578125,0.0
2020-06-30,3090.0,3100.0,3050.0,3050.0,258068400,2533.2294921875,154.0682
2020-07-01,3070.0,3100.0,3010.0,3040.0,148037400,2524.923828125,0.0
2020-07-02,3040.0,3140.0,3040.0,3140.0,178357900,2607.98046875,0.0
2020-07-03,3150.0,3180.0,3110.0,3120.0,102033100,2591.369384765625,0.0
2020-07-06,3130.0,3150.0,3040.0,3050.0,248572600,2533.2294921875,0.0
2020-07-07,3060.0,3120.0,3050.0,3120.0,169104200,2591.369384765625,0.0
2020-07-08,3130.0,3160.0,3110.0,3150.0,158166300,2616.286376953125,0.0
2020-07-09,3170.0,3190.0,3110.0,3110.0,125940800,2583.063720703125,0.0
2020-07-10,3110.0,3130.0,3100.0,3110.0,95422400,2583.063720703125,0.0
2020-07-13,3120.0,3130.0,3080.0,3090.0,77733900,2566.4521484375,0.0
2020-07-14,3100.0,3110.0,3070.0,3080.0,111442600,2558.146728515625,0.0
2020-07-15,3120.0,3130.0,3080.0,3090.0,102304100,2566.4521484375,0.0
2020-07-16,3090.0,3110.0,3080.0,3100.0,91951000,2574.758056640625,0.0
2020-07-17,3100.0,3110.0,3060.0,3060.0,112416300,2541.53515625,0.0
2020-07-20,3080.0,3080.0,3040.0,3060.0,64735500,2541.53515625,0.0
2020-07-21,3050.0,3110.0,3050.0,3060.0,101283800,2541.53515625,0.0
2020-07-22,3070.0,3090.0,3060.0,3070.0,69462100,2549.841064453125,0.0
2020-07-23,3070.0,3090.0,3060.0,3070.0,70482100,2549.841064453125,0.0
2020-07-24,3080.0,3080.0,3020.0,3020.0,137265100,2508.3125,0.0
2020-07-27,3020.0,3050.0,3020.0,3040.0,58708800,2524.923828125,0.0
2020-07-28,3050.0,3050.0,3010.0,3020.0,102705300,2508.3125,0.0
2020-07-29,3030.0,3050.0,3000.0,3000.0,114352000,2491.701416015625,0.0
2020-07-30,3040.0,3050.0,3000.0,3050.0,95785000,2533.2294921875,0.0
2020-08-03,3060.0,3060.0,2850.0,2920.0,255659800,2425.255615234375,0.0
2020-08-04,2970.0,2970.0,2920.0,2950.0,96018000,2450.1728515625,0.0
2020-08-05,2960.0,3040.0,2920.0,3020.0,120719100,2508.3125,0.0
2020-08-06,3050.0,3050.0,3000.0,3020.0,71699000,2508.3125,0.0
2020-08-07,3020.0,3030.0,2970.0,2980.0,78347200,2475.08984375,0.0
2020-08-10,3000.0,3020.0,2970.0,2970.0,65485400,2466.7841796875,0.0
2020-08-11,2980.0,3000.0,2930.0,2930.0,175693000,2433.5615234375,0.0
2020-08-12,2930.0,2960.0,2920.0,2950.0,110934800,2450.1728515625,0.0
2020-08-13,2950.0,3020.0,2950.0,3010.0,160906600,2500.007080078125,0.0
2020-08-14,3020.0,3040.0,3000.0,3030.0,93007500,2516.6181640625,0.0
2020-08-18,3030.0,3060.0,3000.0,3050.0,139358500,2533.2294921875,0.0
2020-08-19,3050.0,3050.0,3000.0,3000.0,103980600,2491.701416015625,0.0
2020-08-24,3010.0,3020.0,2990.0,3000.0,76713900,2491.701416015625,0.0
2020-08-25,3010.0,3010.0,2980.0,2980.0,100013600,2475.08984375,0.0
2020-08-26,2980.0,3050.0,2980.0,3020.0,122465300,2508.3125,0.0
2020-08-27,3020.0,3040.0,2970.0,2990.0,102787800,2483.3955078125,0.0
2020-08-28,2990.0,2990.0,2940.0,2960.0,160569500,2458.478515625,0.0
2020-08-31,2960.0,2980.0,2860.0,2860.0,204261100,2375.421875,0.0
2020-09-01,2900.0,2910.0,2860.0,2900.0,90565400,2408.644775390625,0.0
2020-09-02,2900.0,2970.0,2900.0,2950.0,107589800,2450.1728515625,0.0
2020-09-03,2950.0,2960.0,2880.0,2900.0,123106100,2408.644775390625,0.0
2020-09-04,2850.0,2890.0,2840.0,2860.0,143569100,2375.421875,0.0
2020-09-07,2870.0,2910.0,2870.0,2900.0,62206600,2408.644775390625,0.0
2020-09-08,2890.0,2900.0,2860.0,2860.0,80068200,2375.421875,0.0
2020-09-09,2850.0,2860.0,2800.0,2800.0,108397400,2325.587890625,0.0
2020-09-10,2800.0,2800.0,2620.0,2700.0,287496300,2242.531005859375,0.0
2020-09-11,2670.0,2840.0,2650.0,2810.0,197756800,2333.893310546875,0.0
2020-09-14,2830.0,2890.0,2820.0,2890.0,127562700,2400.3388671875,0.0
2020-09-15,2890.0,2900.0,2810.0,2830.0,106215900,2350.5048828125,0.0
2020-09-16,2810.0,2830.0,2770.0,2790.0,68113400,2317.2822265625,0.0
2020-09-17,2810.0,2850.0,2780.0,2820.0,97257400,2342.198974609375,0.0
2020-09-18,2850.0,2890.0,2840.0,2890.0,162116700,2400.3388671875,0.0
2020-09-21,2890.0,2910.0,2800.0,2810.0,100305100,2333.893310546875,0.0
2020-09-22,2790.0,2810.0,2750.0,2780.0,75891600,2308.9765625,0.0
2020-09-23,2770.0,2810.0,2740.0,2800.0,85953300,2325.587890625,0.0
2020-09-24,2750.0,2760.0,2710.0,2730.0,74516800,2267.447998046875,0.0
2020-09-25,2720.0,2740.0,2670.0,2690.0,180968900,2234.225341796875,0.0
2020-09-28,2710.0,2730.0,2660.0,2660.0,89256700,2209.308349609375,0.0
2020-09-29,2690.0,2690.0,2630.0,2630.0,155853900,2184.3916015625,0.0
2020-09-30,2630.0,2650.0,2540.0,2560.0,235611600,2126.251953125,0.0
2020-10-01,2600.0,2760.0,2600.0,2750.0,225006000,2284.0595703125,0.0
2020-10-02,2750.0,2750.0,2650.0,2680.0,140161900,2225.919921875,0.0
2020-10-05,2690.0,2710.0,2640.0,2650.0,124720200,2201.002685546875,0.0
2020-10-06,2680.0,2700.0,2620.0,2650.0,148977400,2201.002685546875,0.0
2020-10-07,2650.0,2670.0,2620.0,2660.0,110186000,2209.308349609375,0.0
2020-10-08,2670.0,2720.0,2650.0,2700.0,154587800,2242.531005859375,0.0
2020-10-09,2710.0,2750.0,2700.0,2730.0,109122300,2267.447998046875,0.0
2020-10-12,2750.0,2760.0,2710.0,2730.0,77479100,2267.447998046875,0.0
2020-10-13,2730.0,2740.0,2680.0,2730.0,97205500,2267.447998046875,0.0
2020-10-14,2730.0,2830.0,2710.0,2810.0,183236500,2333.893310546875,0.0
2020-10-15,2800.0,2850.0,2760.0,2780.0,138462900,2308.9765625,0.0
2020-10-16,2780.0,2780.0,2720.0,2750.0,135175000,2284.0595703125,0.0
2020-10-19,2800.0,2810.0,2710.0,2710.0,187840500,2250.836669921875,0.0
2020-10-20,2710.0,2740.0,2670.0,2670.0,168211100,2217.6142578125,0.0
2020-10-21,2680.0,2710.0,2670.0,2680.0,142146300,2225.919921875,0.0
2020-10-22,2670.0,2720.0,2650.0,2700.0,257179400,2242.531005859375,0.0
2020-10-23,2710.0,2720.0,2630.0,2630.0,166356000,2184.3916015625,0.0
2020-10-26,2630.0,2680.0,2630.0,2650.0,97523200,2201.002685546875,0.0
2020-10-27,2640.0,2690.0,2620.0,2620.0,146366600,2176.08544921875,0.0
2020-11-02,2590.0,2620.0,2550.0,2560.0,391510600,2126.251953125,0.0
2020-11-03,2570.0,2590.0,2540.0,2580.0,188874000,2142.86328125,0.0
2020-11-04,2600.0,2640.0,2580.0,2580.0,150678200,2142.86328125,0.0
2020-11-05,2630.0,2810.0,2620.0,2770.0,369260400,2300.670654296875,0.0
2020-11-06,2800.0,2840.0,2750.0,2830.0,243865800,2350.5048828125,0.0
2020-11-09,2860.0,2900.0,2840.0,2880.0,208192700,2392.033203125,0.0
2020-11-10,2950.0,2950.0,2860.0,2860.0,195337300,2375.421875,0.0
2020-11-11,2900.0,3100.0,2880.0,3080.0,480530200,2558.146728515625,0.0
2020-11-12,3080.0,3080.0,3010.0,3040.0,169609900,2524.923828125,0.0
2020-11-13,3010.0,3010.0,2950.0,2990.0,186708800,2483.3955078125,0.0
2020-11-16,3040.0,3100.0,3020.0,3070.0,206145500,2549.841064453125,0.0
2020-11-17,3100.0,3270.0,3100.0,3220.0,527501800,2674.42626953125,0.0
2020-11-18,3200.0,3250.0,3160.0,3180.0,239122600,2641.203369140625,0.0
2020-11-19,3150.0,3220.0,3140.0,3170.0,185558800,2632.897705078125,0.0
2020-11-20,3190.0,3270.0,3180.0,3220.0,211892500,2674.42626953125,0.0
2020-11-23,3230.0,3340.0,3220.0,3320.0,260752200,2757.482666015625,0.0
2020-11-24,3350.0,3380.0,3330.0,3350.0,207503900,2782.39990234375,0.0
2020-11-25,3370.0,3390.0,3280.0,3280.0,253156200,2724.259765625,0.0
2020-11-26,3280.0,3480.0,3280.0,3470.0,374185400,2882.067626953125,0.0
2020-11-27,3480.0,3500.0,3420.0,3460.0,163651600,2873.761962890625,0.0
2020-11-30,3460.0,3470.0,3220.0,3230.0,624142600,2682.731689453125,0.0
2020-12-01,3230.0,3320.0,3160.0,3240.0,277929200,2691.037353515625,0.0
2020-12-02,3270.0,3330.0,3240.0,3330.0,187276600,2765.78857421875,0.0
2020-12-03,3330.0,3360.0,3280.0,3300.0,121434200,2740.871337890625,0.0
2020-12-04,3270.0,3280.0,3210.0,3250.0,170418900,2699.3427734375,0.0
2020-12-07,3280.0,3330.0,3260.0,3330.0,175436900,2765.78857421875,0.0
2020-12-08,3350.0,3350.0,3290.0,3300.0,113775100,2740.871337890625,0.0
2020-12-10,3270.0,3290.0,3250.0,3260.0,229380200,2707.648681640625,0.0
2020-12-11,3270.0,3330.0,3250.0,3280.0,154365400,2724.259765625,0.0
2020-12-14,3300.0,3340.0,3250.0,3320.0,281474900,2757.482666015625,0.0
2020-12-15,3320.0,3490.0,3290.0,3450.0,410175700,2865.45654296875,0.0
2020-12-16,3500.0,3640.0,3500.0,3610.0,455088400,2998.346923828125,0.0
2020-12-17,3610.0,3620.0,3520.0,3540.0,249797800,2940.20751953125,0.0
2020-12-18,3500.0,3540.0,3500.0,3510.0,187856600,2915.29052734375,0.0
2020-12-21,3530.0,3610.0,3510.0,3520.0,267970200,2923.59619140625,0.0
2020-12-22,3500.0,3540.0,3340.0,3360.0,311860000,2790.705078125,0.0
2020-12-23,3350.0,3420.0,3240.0,3320.0,240067600,2757.482666015625,0.0
2020-12-28,3370.0,3460.0,3280.0,3430.0,178138100,2848.844970703125,0.0
2020-12-29,3500.0,3530.0,3400.0,3420.0,184525500,2840.53955078125,0.0
2020-12-30,3420.0,3420.0,3310.0,3310.0,150844500,2749.177001953125,0.0
2021-01-04,3320.0,3500.0,3310.0,3490.0,165339800,2898.67919921875,0.0
2021-01-05,3480.0,3480.0,3420.0,3470.0,157800700,2882.067626953125,0.0
2021-01-06,3470.0,3490.0,3330.0,3370.0,177877900,2799.010986328125,0.0
2021-01-07,3390.0,3450.0,3380.0,3390.0,140221900,2815.6220703125,0.0
2021-01-08,3450.0,3620.0,3440.0,3570.0,492643700,2965.12451171875,0.0
2021-01-11,3590.0,3640.0,3570.0,3600.0,271231200,2990.04150390625,0.0
2021-01-12,3600.0,3620.0,3500.0,3510.0,189779500,2915.29052734375,0.0
2021-01-13,3550.0,3550.0,3460.0,3480.0,162329300,2890.373291015625,0.0
2021-01-14,3480.0,3590.0,3470.0,3500.0,187448400,2906.984619140625,0.0
2021-01-15,3510.0,3540.0,3450.0,3480.0,133304300,2890.373291015625,0.0
2021-01-18,3480.0,3520.0,3430.0,3450.0,138913100,2865.45654296875,0.0
2021-01-19,3470.0,3490.0,3370.0,3410.0,144100700,2832.233642578125,0.0
2021-01-20,3420.0,3480.0,3380.0,3470.0,116098100,2882.067626953125,0.0
2021-01-21,3500.0,3520.0,3460.0,3480.0,81801900,2890.373291015625,0.0
2021-01-22,3420.0,3440.0,3360.0,3390.0,165024200,2815.6220703125,0.0
